"","id","lng","lro","asm","afr","alr","meno","store_total","store_av","store_sd","prod_total","prod_av","prod_sd","outdeg_total","outdeg_av","outdeg_sd","indeg_total","indeg_av","indeg_sd"
"134",134,36,0,11,NA,NA,NA,235,6.35135135135135,5.2557704595162,46,1.24324324324324,1.83189952122267,193,5.21621621621622,4.37248426167764,192,5.18918918918919,4.98240146157697
"135",135,29,0,11,NA,NA,NA,231,7.7,5.09326803833696,28,0.933333333333333,1.72073226860831,181,6.03333333333333,4.5294692795098,191,6.36666666666667,4.68661581699332
"136",136,51,0,11,NA,NA,NA,301,5.78846153846154,5.34803074793373,88,1.69230769230769,1.99546998285835,266,5.11538461538461,4.37754450892299,238,4.57692307692308,5.03067513438229
"137",137,35,0,11,NA,NA,NA,281,7.80555555555556,5.97527976365695,54,1.5,1.91982142026655,244,6.77777777777778,4.64211227236119,234,6.5,5.61375860848021
"138",138,57,0,11,NA,NA,NA,305,5.25862068965517,4.91885147351613,104,1.79310344827586,2.00664353331937,263,4.53448275862069,3.99655780505815,225,3.87931034482759,4.61909684423073
"139",139,49,0,11,NA,NA,NA,320,6.4,6.24336382383204,80,1.6,1.97948663722157,275,5.5,4.63900939460843,253,5.06,5.69428643108016
"140",140,17,1,11,17,17,NA,200,11.1111111111111,5.59294607086766,17,0.944444444444444,1.69678665934179,153,8.5,4.50163369037874,172,9.55555555555556,5.76217097794616
"141",141,50,0,11,NA,NA,NA,321,6.29411764705882,6.66721566366968,102,2,1.98997487421324,298,5.84313725490196,5.24737095703976,255,5,6.26099033699941
"142",142,46,0,11,NA,NA,NA,295,6.27659574468085,6.83247401770327,84,1.78723404255319,2.01015000751908,257,5.46808510638298,5.37243796909093,228,4.85106382978723,6.14668069987957
"143",143,13,1,11,13,13,NA,213,15.2142857142857,5.89887305310966,15,1.07142857142857,1.6391501416323,163,11.6428571428571,6.05877802933819,180,12.8571428571429,5.86852284987972
"144",144,27,0,11,NA,NA,NA,282,10.0714285714286,8.9024697839402,42,1.5,1.91485421551268,236,8.42857142857143,6.98373014745607,230,8.21428571428571,8.15296875198841
"145",145,46,0,11,NA,NA,NA,315,6.70212765957447,8.12916085732213,68,1.4468085106383,1.94275141776562,263,5.59574468085106,6.3405512531849,250,5.31914893617021,7.35174153570231
